op_slug,crime_type_slug
2bagoldmule-qqaazz,money-laundering-ic
africa-cyber-surge-ii,online-fraud-ic
alphabay-takedown,online-fraud-ic
andromeda-botnet-takedown,malware-ic
belgium-netherlands-phishing-gang,online-fraud-ic
bidencash-takedown,carding-fraud-ic
blackcat-lockeroga-kelvin-security-2023,ransomware-ic
carbanak-cobalt-takedown,malware-ic
carding-action-2020,carding-fraud-ic
cryptex-pm2btc-sanctions,money-laundering-ic
cyber-fraud-international-2015,online-fraud-ic
cyberbunker-takedown,online-fraud-ic
darkmarket-takedown,online-fraud-ic
de-ch-crypto-mixer-takedown-2025,money-laundering-ic
doublevpn-takedown,cybercrime-infrastructure-ic
dridex-operations,online-fraud-ic
emotet-takedown,ransomware-ic
fin7-takedown,hacking-ic
franco-israeli-ceo-fraud,bec-ic
imminent-monitor-rat-takedown,hacking-ic
korea-china-voice-phishing-qingdao,voice-phishing-ic
lumma-stealer-takedown,hacking-ic
nemesis-market-takedown,online-fraud-ic
operation-105-arrested-for-stealing-over-eur-12-million-from-us-based-banks,bank-fraud-ic
operation-105-arrested-for-stealing-over-eur-12-million-from-us-based-banks,carding-fraud-ic
operation-105-arrested-for-stealing-over-eur-12-million-from-us-based-banks,money-laundering-ic
operation-australian-man-arrested-in-germany-accused-of-running-world-s-largest-darknet-marketplace,online-fraud-ic
operation-avalanche,malware-ic
operation-bakovia,ransomware-ic
operation-chakra-iii,online-fraud-ic
operation-contender-2,bec-ic
operation-cronos-phase1,ransomware-ic
operation-cronos-phase3,ransomware-ic
operation-cyber-guardian,csam-ic
operation-dark-huntor,online-fraud-ic
operation-destabilise,money-laundering-ic
operation-endgame,ransomware-ic
operation-endgame-phase1,ransomware-ic
operation-endgame-phase2,ransomware-ic
operation-eur-100m-crypto-investment-fraud-2025,online-fraud-ic
operation-eur-100m-illegal-financial-service-laundering-2025,money-laundering-ic
operation-eur-300m-global-credit-card-fraud-2025,online-fraud-ic
operation-eur-3m-online-investment-fraud-2025,online-fraud-ic
operation-goldfish-alpha-night-fury,malware-ic
operation-haechi-iii,online-fraud-ic
operation-haechi-iv,online-fraud-ic
operation-haechi-vi,online-fraud-ic
operation-heart-blocker,bec-ic
operation-killer-bee,bec-ic
operation-kraken-ghost-platform,online-fraud-ic
operation-onymous,online-fraud-ic
operation-orion-international,csam-ic
operation-pleiades,ddos-ic
operation-power-off,ddos-extortion
operation-red-card,online-fraud-ic
operation-rewired,bec-ic
operation-secreto,online-fraud-ic
operation-sentinel-africa,bec-ic
operation-source,malware-ic
operation-stream-kidflix,csam-ic
operation-talent,hacking-ic
operation-trojan-shield,organized-crime-ic
operation-wirewire,bec-ic
phobos-8base-crackdown,ransomware-ic
proxy-service-takedown-2026-03,hacking-ic
qqaazz-money-laundering-takedown,money-laundering-ic
ramnit-botnet-takedown,malware-ic
rex-mundi-takedown,hacking-ic
rydox-marketplace-takedown,cybercrime-forum-ic
silk-road-takedown,online-fraud-ic
simda-botnet-takedown,malware-ic
trickbot-operations,ransomware-ic
vpnlab-takedown,ransomware-ic
xdedic-marketplace-takedown,cybercrime-forum-ic
zeus-spyeye-jit-takedown,malware-ic
