excel_sheet,excel_row,year,operation_name_raw,operation_name_canonical_candidate,source_url,source_url_normalized,matched_source_slug,matched_operation_slug,excel_agencies,excel_countries,excel_crime_types_detected,excel_crime_label_raw,wiki_agencies,wiki_countries,wiki_crime_types,review_status,review_note
sheet1_collect_urls,23,2015,(가칭)Operation Phishing Syndicate,Operation Phishing Syndicate,https://www.europol.europa.eu/media-press/newsroom/news/international-operation-dismantles-criminal-group-of-cyber-fraudsters,https://europol.europa.eu/media-press/newsroom/news/international-operation-dismantles-criminal-group-of-cyber-fraudsters,2015-06-01_europol-europa-eu_international-operation-dismantles-criminal-group-of-cyber-fraudsters,,"Europol, Eurojust, 이탈리아 경찰(Polizia di Stato), 스페인 국가경찰, 폴란드 경찰, 영국 법집행기관","이탈리아, 스페인, 폴란드, 영국, 벨기에, 조지아",malware-ic,"금융사기, 이메일계정해킹, 악성코드유포, 자금세탁",,,,needs_manual_review,provisional_operation_name
sheet1_collect_urls,439,2023,(가칭)Operation Crypto Blender,Operation Crypto Blender,https://cyberscoop.com/russians-crypto-mixers-doj-charges/,https://cyberscoop.com/russians-crypto-mixers-doj-charges,,,"미국 법무부(DOJ), 미국 연방수사국(FBI), 네덜란드 재정정보조사국(FI-IS), 핀란드 국립수사국(NBI), 미국 재무부 OFAC","미국, 네덜란드, 핀란드, 러시아(피의자 국적)","ransomware-ic, malware-ic","자금세탁 공모, 무면허 자금 송금 사업 운영, 랜섬웨어 수익 세탁, 암호화폐 절도, 불법 금융정보 거래, 사이버범죄",,,,needs_manual_review,provisional_operation_name
sheet1_collect_urls,46,2015,(가칭)Operation Russian Ransom,Operation Russian Ransom,https://www.businessinsider.com/flashpoint-report-ransomware-2016-6,https://businessinsider.com/flashpoint-report-ransomware-2016-6,,,"Flashpoint(사이버 위협 인텔리전스 분석), FBI(피해 통계 및 대응)","러시아, 미국","ransomware-ic, malware-ic","랜섬웨어, 컴퓨터사기, 자금세탁",,,,needs_manual_review,provisional_operation_name
sheet1_collect_urls,428,2025,(가칭)Operation Asia ScamHub,Operation Asia ScamHub,https://timesofindia.indiatimes.com/india/myanmar-style-cybercrime-operation-busted-near-andhra-sez-100-detained/articleshow/121324448.cms,https://timesofindia.indiatimes.com/india/myanmar-style-cybercrime-operation-busted-near-andhra-sez-100-detained/articleshow/121324448.cms,,,"아나카팔리 경찰, 안드라프라데시 경찰, 현지 산업단지 경비","인도, 미국, 영국, 오스트레일리아(피해 대상)",malware-ic,"조직적 컴퓨터사기, 신분도용, 불법 금융정보 거래, 사기, 불법 취업 알선, 불법데이터유출",,,,needs_manual_review,provisional_operation_name
sheet1_collect_urls,197,2023,(가칭)Operation Africa CyberDesk,Operation Africa CyberDesk,https://www.interpol.int/News-and-Events/News/2021/INTERPOL-launches-initiative-to-fight-cybercrime-in-Africa,https://interpol.int/News-and-Events/News/2021/INTERPOL-launches-initiative-to-fight-cybercrime-in-Africa,,,"인터폴(INTERPOL), 영국 외교부(UK Foreign Office), 각국 경찰 및 수사기관",아프리카 49개국(구체적 국가명 미상세),malware-ic,사이버범죄(인터넷 사기 등 포함),,,,needs_manual_review,provisional_operation_name
sheet1_collect_urls,285,2022,(가칭)Operation FakeMall Takedown,Operation FakeMall Takedown,https://www.europol.europa.eu/media-press/newsroom/news/fraudulent-shopping-sites-tied-to-cybercrime-marketplace-taken-offline,https://europol.europa.eu/media-press/newsroom/news/fraudulent-shopping-sites-tied-to-cybercrime-marketplace-taken-offline,2024-12-04_europol-europa-eu_fraudulent-shopping-sites-tied-to-cybercrime-marketplace-taken-offline,,"Europol, 독일 하노버 경찰(Polizeidirektion Hannover), Verden 검찰청(Staatsanwaltschaft Verden), 각국 법집행기관(독일, 오스트리아, 핀란드, 네덜란드, 노르웨이 등)","독일, 오스트리아, 핀란드, 네덜란드, 노르웨이",malware-ic,"사이버 사기, 신분도용, 불법 금융거래, 계정 정보 유출, 피싱, 데이터 절도, 조직적 사이버범죄",,,,needs_manual_review,provisional_operation_name
sheet1_collect_urls,61,2016,(가칭)Operation Mike,Operation Mike,https://news.sophos.com/en-us/2016/08/02/nigerian-scammer-arrested-for-60-million-email-fraud/,https://news.sophos.com/en-us/2016/08/02/nigerian-scammer-arrested-for-60-million-email-fraud,,,"INTERPOL, Nigerian Economic and Financial Crime Commission (EFCC)","나이지리아, 말레이시아, 남아프리카공화국, 미국, 중국, 유럽(자금 세탁 관련)",malware-ic,"이메일계정해킹, 컴퓨터사기, 자금세탁, 비즈니스이메일사기(BEC), CEO사기",,,,needs_manual_review,provisional_operation_name
sheet1_collect_urls,73,2017,(가칭)Operation Teenage Breach,Operation Teenage Breach,https://www.walesonline.co.uk/news/wales-news/teenager-wales-charged-international-computer-11737455,https://walesonline.co.uk/news/wales-news/teenager-wales-charged-international-computer-11737455,,,"웨일스 경찰, 국제 사이버범죄수사기관, National Crime Agency, Europol(기사 내 구체적 명시는 없으나, 국제 공조 언급)","영국(웨일스), 국제(미국 등 기타 국가 언급, 구체적 명시 없음)",malware-ic,"컴퓨터오용, 해킹, 불법컴퓨터접근, 불법데이터유출",,,,needs_manual_review,provisional_operation_name
sheet1_collect_urls,84,2021,(가칭)Operation PeerWatch,Operation PeerWatch,https://timesofmalta.com/article/malta-police-taking-part-in-european-cyber-crime-operation.641343,https://timesofmalta.com/article/malta-police-taking-part-in-european-cyber-crime-operation.641343,,,"몰타 경찰 사이버범죄팀, Europol, 유럽연합 회원국 경찰","몰타, 유럽연합 회원국(모두)","csam-ic, malware-ic","아동 학대 영상 및 사진 유포, 아동 성착취, 불법데이터유출",,,,needs_manual_review,provisional_operation_name
sheet1_collect_urls,87,2017,(가칭)Operation CardHack London,Operation CardHack London,https://www.bbc.com/news/uk-41240643,https://bbc.com/news/uk-41240643,,,"런던 경찰, 영국 국립범죄청(NCA), 국제 법집행기관","영국(런던), 국제(피해자 다수, 구체적 국가 명시 없음)",malware-ic,"해킹, 불법데이터유출, 신용카드사기, 불법금융정보거래",,,,needs_manual_review,provisional_operation_name
