연번,연도,작전명,죄명(한글),"참여기관(기본 한글, 저명한 기관만 영문)",참여국가(한글),내용,출처
23,2015,(가칭)Operation Phishing Syndicate,"금융사기, 이메일계정해킹, 악성코드유포, 자금세탁","Europol, Eurojust, 이탈리아 경찰(Polizia di Stato), 스페인 국가경찰, 폴란드 경찰, 영국 법집행기관","이탈리아, 스페인, 폴란드, 영국, 벨기에, 조지아","2015년 6월 국제 공조 수사로 이탈리아, 스페인, 폴란드, 영국, 벨기에, 조지아 등에서 이메일 계정 침입을 통한 금융 사기 조직 49명을 체포하고, 58곳을 압수수색하여 현금, 신용카드, 위조문서 등 범죄 수익을 압수했다.",https://www.europol.europa.eu/media-press/newsroom/news/international-operation-dismantles-criminal-group-of-cyber-fraudsters
439,2023,(가칭)Operation Crypto Blender,"자금세탁 공모, 무면허 자금 송금 사업 운영, 랜섬웨어 수익 세탁, 암호화폐 절도, 불법 금융정보 거래, 사이버범죄","미국 법무부(DOJ), 미국 연방수사국(FBI), 네덜란드 재정정보조사국(FI-IS), 핀란드 국립수사국(NBI), 미국 재무부 OFAC","미국, 네덜란드, 핀란드, 러시아(피의자 국적)","미국 법무부와 국제 공조기관이 블렌더(Blender.io)와 신바드(Sinbad.io) 암호화폐 믹서를 운영하며 랜섬웨어 등 불법 수익을 세탁한 러시아인 3명을 기소하고, 서비스 인프라를 단속해 범죄 네트워크에 타격을 입혔다.",https://cyberscoop.com/russians-crypto-mixers-doj-charges/
46,2015,(가칭)Operation Russian Ransom,"랜섬웨어, 컴퓨터사기, 자금세탁","Flashpoint(사이버 위협 인텔리전스 분석), FBI(피해 통계 및 대응)","러시아, 미국","러시아를 기반으로 한 랜섬웨어 범죄 네트워크가 조직적으로 운영되어 월 최대 7,500달러를 벌어들이고 있으며, 피해자들은 데이터 복구를 위해 몸값을 지불하지만 항상 복구가 보장되는 것은 아니다",https://www.businessinsider.com/flashpoint-report-ransomware-2016-6
428,2025,(가칭)Operation Asia ScamHub,"조직적 컴퓨터사기, 신분도용, 불법 금융정보 거래, 사기, 불법 취업 알선, 불법데이터유출","아나카팔리 경찰, 안드라프라데시 경찰, 현지 산업단지 경비","인도, 미국, 영국, 오스트레일리아(피해 대상)","안드라프라데시 아나카팔리 경찰이 미얀마·캄보디아식 조직적 사이버사기 콜센터를 단속해 100명 이상을 체포하고, 미국·영국·호주 등 외국인을 대상으로 한 대규모 사이버사기 네트워크를 적발했다.",https://timesofindia.indiatimes.com/india/myanmar-style-cybercrime-operation-busted-near-andhra-sez-100-detained/articleshow/121324448.cms
197,2023,(가칭)Operation Africa CyberDesk,사이버범죄(인터넷 사기 등 포함),"인터폴(INTERPOL), 영국 외교부(UK Foreign Office), 각국 경찰 및 수사기관",아프리카 49개국(구체적 국가명 미상세),"인터폴(INTERPOL)이 영국 지원으로 아프리카 49개국의 사이버범죄 대응 역량 강화를 위해 새로운 사이버범죄 운영 데스크를 설립하고, 정보 기반의 공동작전 및 연례 위협 평가를 지원하는 이니셔티브를 시작했다",https://www.interpol.int/News-and-Events/News/2021/INTERPOL-launches-initiative-to-fight-cybercrime-in-Africa
285,2022,(가칭)Operation FakeMall Takedown,"사이버 사기, 신분도용, 불법 금융거래, 계정 정보 유출, 피싱, 데이터 절도, 조직적 사이버범죄","Europol, 독일 하노버 경찰(Polizeidirektion Hannover), Verden 검찰청(Staatsanwaltschaft Verden), 각국 법집행기관(독일, 오스트리아, 핀란드, 네덜란드, 노르웨이 등)","독일, 오스트리아, 핀란드, 네덜란드, 노르웨이","Europol과 독일 하노버 경찰이 주도하고 여러 유럽 국가가 협력한 작전에서 사이버 범죄 마켓플레이스와 연계된 가짜 온라인 쇼핑 사이트 네트워크를 해체하고, 50개 이상의 서버를 압수하며, 2명의 주요 용의자를 체포하고 200TB 이상의 디지털 증거를 확보해 대규모 온라인 사기 조직을 무력화했다.",https://www.europol.europa.eu/media-press/newsroom/news/fraudulent-shopping-sites-tied-to-cybercrime-marketplace-taken-offline
61,2016,(가칭)Operation Mike,"이메일계정해킹, 컴퓨터사기, 자금세탁, 비즈니스이메일사기(BEC), CEO사기","INTERPOL, Nigerian Economic and Financial Crime Commission (EFCC)","나이지리아, 말레이시아, 남아프리카공화국, 미국, 중국, 유럽(자금 세탁 관련)","INTERPOL과 나이지리아 EFCC가 전 세계 중소기업 이메일 계정을 해킹해 6,000만 달러 이상을 탈취한 나이지리아인 마이크를 중심으로 한 국제 범죄 네트워크를 국제 공조 수사로 체포했다.",https://news.sophos.com/en-us/2016/08/02/nigerian-scammer-arrested-for-60-million-email-fraud/
73,2017,(가칭)Operation Teenage Breach,"컴퓨터오용, 해킹, 불법컴퓨터접근, 불법데이터유출","웨일스 경찰, 국제 사이버범죄수사기관, National Crime Agency, Europol(기사 내 구체적 명시는 없으나, 국제 공조 언급)","영국(웨일스), 국제(미국 등 기타 국가 언급, 구체적 명시 없음)","웨일스의 10대가 국제 사이버범죄 네트워크와 연관되어 해킹 및 불법 컴퓨터 접근 혐의로 체포되어 기소되었으며, 이는 국제 공조 조사의 일부로 이루어졌다.",https://www.walesonline.co.uk/news/wales-news/teenager-wales-charged-international-computer-11737455
84,2021,(가칭)Operation PeerWatch,"아동 학대 영상 및 사진 유포, 아동 성착취, 불법데이터유출","몰타 경찰 사이버범죄팀, Europol, 유럽연합 회원국 경찰","몰타, 유럽연합 회원국(모두)","몰타 경찰 사이버범죄팀이 Europol과 유럽연합 회원국 경찰과 협력해, 피어투피어 네트워크를 통해 아동 학대 영상 및 사진을 유포하는 범죄자들을 단속하며, 해당 네트워크 이용자들에게 경고 메시지를 전송하는 작전을 수행했다.",https://timesofmalta.com/article/malta-police-taking-part-in-european-cyber-crime-operation.641343
87,2017,(가칭)Operation CardHack London,"해킹, 불법데이터유출, 신용카드사기, 불법금융정보거래","런던 경찰, 영국 국립범죄청(NCA), 국제 법집행기관","영국(런던), 국제(피해자 다수, 구체적 국가 명시 없음)","런던 경찰이 국제 공조로 불법 신용카드 및 금융정보를 해킹해 유출·판매한 용의자 10명을 체포하고, 사이버범죄 네트워크에 타격을 입혔다.",https://www.bbc.com/news/uk-41240643
88,2017,(가칭)Operation ASEAN Sweep,"해킹, 악성코드유포, 랜섬웨어, DDoS공격, 스팸유포, 불법데이터유출, 컴퓨터사기, 피싱","Interpol, Trend Micro, Kaspersky Lab, Cyber Defense Institute, Booz Allen Hamilton, British Telecom, Fortinet, Palo Alto Networks, 인도네시아, 말레이시아, 미얀마, 필리핀, 싱가포르, 태국, 베트남 등 각국 경찰 및 사이버수사기관, 중국(정보 제공)","인도네시아, 말레이시아, 미얀마, 필리핀, 싱가포르, 태국, 베트남, 중국(정보 제공)"," Interpol이 동남아시아 7개국(및 중국 정보 제공)의 경찰 및 민간 보안기업과 협력해, 9,000개 이상의 침해 서버와 수백 개의 웹사이트(정부포털 포함)에서 해킹, 악성코드, 랜섬웨어, DDoS, 스팸, 불법 데이터 유출 등 다양한 사이버범죄를 적발하고, 단속 결과를 발표했다.",https://www.freemalaysiatoday.com/category/nation/2017/04/24/interpol-finds-9000-compromised-websites
89,2017,(가칭)Operation WannaCry,랜섬웨어,"주요 보안기업(하우리랩스, 시만텍 등), FBI, 미국 정부, 기타 국제 보안기관","미국, 영국, 중국, 러시아, 이스라엘, 남한 등(전 세계적 피해 및 조사)","북한이 배후로 추정되는 WannaCry 랜섬웨어 공격이 전 세계 300,000대 이상의 컴퓨터를 감염시켰으며, 주요 보안기업과 국제기관이 이 공격의 배후와 경로를 조사하고 있다.",https://time.com/4781809/ransomware-attack-north-korea-wannacry/
94,2017,(가칭)Operation Fiji Fraud,"컴퓨터사기, 불법온라인도박","피지 경찰, 중국 경찰, 중국 대사관(수바)","피지, 중국","피지와 중국 당국이 공동으로 전화 및 온라인 사기 조직을 적발하여 77명의 중국 국적 용의자를 체포 및 송환하고, 사기와 관련된 장비를 압수하였다.",https://www.arabnews.com/node/1141451/world
97,2018,(가칭)Operation MoneyTaker,"금융기관해킹, 은행사기, 정보유출, 자금탈취","Group-IB(사이버보안기업), 피해 금융기관, 국제 로펌, 금융 소프트웨어 공급업체","미국, 영국, 러시아","러시아 기반의 Money Taker 해킹 조직이 미국, 영국, 러시아의 금융기관과 국제 로펌, 금융 소프트웨어 공급업체를 표적으로 맞춤형 악성코드와 다양한 침투 도구를 사용해 은행 시스템을 해킹하고 자금을 탈취하였다.",https://cyberscoop.com/money-taker-group-ib-banking-hack-russia/
100,2017,(가칭)Operation QatarLeak,"사이버침입, 허위정보유포, 국가이미지훼손","카타르 내무부, 정부통신청(GCO), 미국 연방수사국(FBI), 영국 국가범죄수사위원회(National Commission for Combating Crime)","카타르, 미국, 영국","카타르 뉴스통신사(QNA)가 해킹을 당해 허위 뉴스가 유포되었으며, 카타르 내무부와 미국 FBI 등이 합동으로 조사하여 사이버침입 경로와 방법을 밝혀냈다.",https://www.aljazeera.com/news/2017/6/7/qatar-reveals-preliminary-results-of-qna-hacking-probe
111,2018,(가칭)Operation Manila Gamble,사이버도박,"필리핀 국가수사국(NBI), 사이버범죄과, 디지털포렌식팀","필리핀, 중국","필리핀 국가수사국이 마닐라와 앵글스 시티에서 관광 비자로 입국한 중국인 15명을 불법 온라인 도박 운영 혐의로 체포하고, 도박 웹사이트 및 장비, 불법 접근장치 다수를 압수하였다.",https://www.gmanetwork.com/news/topstories/metro/676254/15-chinese-nationals-arrested-for-illegal-online-gambling/story/
