연번,연도,작전명,횟수,죄명(한글),"참여기관(기본 한글, 저명한 기관만 영문)",참여국가(한글),내용,출처,,,,,
15,2015,crackdown operation,1,"트로이목마유포, 개인정보탈취, 웹캠해킹","Europol, 프랑스 경찰, 노르웨이 경찰, 루마니아 경찰, Europol 유럽사이버범죄센터(EC3)","프랑스, 노르웨이, 루마니아","2015년 12월 초부터 약 2주간 Europol과 프랑스, 노르웨이, 루마니아 등 유럽 각국 경찰이 공조하여 원격 접근 트로이목마를 이용해 개인정보를 절도하고 웹캠을 해킹하는 등 사이버 범죄를 저지른 12명의 젊은 용의자를 체포하고, 다수의 가정을 수색해 컴퓨터와 인터넷 계정을 압수했다",https://phys.org/news/2015-12-europe-trojan-horse-cybercrime.html,,,,,
129,2015,FIN7,1,"해킹, 신용카드도용, 컴퓨터사기, 조직범죄","미국 FBI, 미국 법무부, 시애틀 연방지방법원, 우크라이나","미국, 우크라이나, 러시아, 영국, 프랑스, 호주","FIN7은 2015년부터 미국을 비롯한 여러 국가의 레스토랑, 게임, 호텔 등 100개 이상의 기업을 대상으로 악성코드와 피싱을 활용해 1,500만 개 이상의 신용카드 정보를 도용하고, 이를 다크웹에서 판매하는 등 대규모 사이버범죄를 저질렀으며, 2018년 주요 인물이 체포되었다.",https://www.fbi.gov/contact-us/field-offices/seattle/news/stories/how-cyber-crime-group-fin7-attacked-and-stole-data-from-hundreds-of-us-companies,,,,,
22,2015,international operation,1,"봇넷운영, 악성코드유포, 개인정보탈취, DDoS공격","Europol, FBI, 미국 법무부, 독일 연방범죄수사청(BKA), 네덜란드, 영국, 프랑스, 루마니아, 리투아니아, 이탈리아, 스페인, 오스트리아, 벨기에, 세르비아, 크로아티아, 핀란드, 아일랜드 등 각국 경찰 및 수사기관","미국, 독일, 네덜란드, 영국, 프랑스, 루마니아, 리투아니아, 이탈리아, 스페인, 오스트리아, 벨기에, 세르비아, 크로아티아, 핀란드, 아일랜드","Europol과 FBI를 비롯한 15개국 이상 수사기관이 공조하여 악성코드 및 봇넷을 이용한 사이버 범죄를 저지른 49명을 체포하고, 봇넷 인프라를 무력화하는 등 대규모 국제 사이버 범죄 단속에 성공했다.",https://www.bbc.com/news/technology-35028690,,,,,
9,2015,JPMorgan,1,"해킹, 금융사기, 증권사기, 자금세탁, 불법비트코인거래, 불법온라인카지노운영","미국 법무부, FBI, 뉴욕 남부지검, 이스라엘 경찰, 기타 국제 수사기관","미국, 이스라엘, 러시아, 조지아","FBI와 이스라엘 경찰이 협력해 Gery Shalon 등이 주도한 범죄조직을 적발, JP모건 등 12개 기업의 고객 데이터 8,300만 건을 해킹하여 주식 조작 및 불법 온라인 도박, 자금 세탁 등 수백만 달러 규모의 범죄를 저지른 혐의로 주요 용의자를 체포했다",https://www.wsj.com/articles/accused-mastermind-of-j-p-morgan-hack-a-product-of-israels-internet-underbelly-1448101982,,,,,
41,2015,Operation Pleiades,1,"DDoS공격, 비트코인갈취, 사이버협박, 컴퓨터사기","Europol, Europol 유럽사이버범죄센터(EC3), Joint Cybercrime Action Taskforce (J-CAT), 영국 런던경찰청 사이버범죄수사대(MPCCU), 오스트리아, 독일, 보스니아 헤르체고비나, FBI, 미국 비밀경찰(US Secret Service), 오스트레일리아, 프랑스, 일본, 루마니아, 스위스, INTERPOL","영국, 오스트리아, 독일, 보스니아 헤르체고비나, 미국, 오스트레일리아, 프랑스, 일본, 루마니아, 스위스","2015년 12월 Europol, FBI 등 10개국 이상의 수사기관이 Operation Pleiades를 통해 DD4BC(DDoS for Bitcoin) 사이버 범죄 조직을 적발하고, DDoS 공격과 비트코인 갈취 혐의로 주요 인물을 체포하며, 온라인 갬블링·금융·엔터테인먼트 등 다양한 산업의 기업을 공격한 대규모 사이버 협박 네트워크에 큰 타격을 입혔다",https://www.europol.europa.eu/media-press/newsroom/news/international-action-against-dd4bc-cybercriminal-group,,,,,
31,2015,Operation Shrouded Horizon,1,"악성코드유포, 봇넷운영, 개인정보탈취, 신용카드도용, 해킹","FBI, 미국 법무부, Europol, 각국 경찰 및 수사기관(예: 영국, 스웨덴, 보스니아/헤르체고비나, 루마니아, 세르비아, 라트비아, 키프로스, 오스트레일리아, 나이지리아, 덴마크, 캐나다, 콜롬비아, 코스타리카, 크로아티아, 핀란드, 독일, 이스라엘, 마케도니아, 브라질)","미국, 영국, 스웨덴, 보스니아 헤르체고비나, 루마니아, 세르비아, 라트비아, 키프로스, 오스트레일리아, 나이지리아, 덴마크, 캐나다, 콜롬비아, 코스타리카, 크로아티아, 핀란드, 독일, 이스라엘, 마케도니아, 브라질","FBI와 미국 법무부가 Europol 및 20개국 수사기관과 공조하여 18개월간 진행된 Operation Shrouded Horizon 작전을 통해 영어권 최대 사이버 범죄 포럼인 Darkode를 무력화하고, 악성코드·봇넷·개인정보 절도 등 혐의로 70명 이상을 체포하며, 포럼 사이트와 서버를 압수해 국제 사이버 범죄 네트워크에 큰 타격을 입혔다",https://www.fbi.gov/news/stories/cyber-criminal-forum-taken-down,,,,,
30,2015,Operation Source,1,"봇넷운영, 악성코드유포, 금융정보탈취, 랜섬웨어, 루트킷, 가짜백신","Europol, Europol 유럽사이버범죄센터(EC3), Joint Cybercrime Action Taskforce(J-CAT), 네덜란드 High Tech Crime Unit, FBI, Intel Security, Kaspersky Lab, Shadowserver","네덜란드, 미국, 유럽연합 회원국(독일, 프랑스, 이탈리아 등 대부분), 기타 지원국(보안기업 및 국제기관 협력 포함)","2015년 4월 Europol과 네덜란드 High Tech Crime Unit을 주축으로 FBI, 유럽연합 회원국 및 주요 보안기업이 공조하여 Operation Source 작전을 통해 폴리몰픽 Beebone 봇넷을 무력화하고, 100여 개의 명령·제어 서버 도메인을 차단해 금융 정보 절도, 랜섬웨어, 루트킷 등 다양한 악성코드 유포를 차단했다",https://www.europol.europa.eu/media-press/newsroom/news/international-police-operation-targets-polymorphic-beebone-botnet,,,,,
33,2015,Simda 봇넷,1,"봇넷운영, 악성코드유포, 개인정보탈취, 금융정보탈취","INTERPOL, 네덜란드 국가하이테크범죄수사대(Dutch National High Tech Crime Unit), FBI, 룩셈부르크 경찰, 러시아 내무부 사이버범죄국, 마이크로소프트 디지털범죄팀, Kaspersky Lab, Trend Micro, 일본 사이버방위연구소(Japan Cyber Defense Institute)","네덜란드, 미국, 러시아, 룩셈부르크, 일본, 폴란드, 싱가포르(작전 본부), 기타 190여 개국 감염 피해 발생","2015년 4월 INTERPOL이 주도하여 네덜란드, 미국, 러시아, 룩셈부르크 등 각국 수사기관과 민간 보안기업이 협력해 Simda 봇넷의 명령·제어 서버를 동시 압수하고, 77만 대 이상 감염된 글로벌 악성코드 유포 및 개인정보 탈취 범죄에 큰 타격을 입혔다.",https://www.bbc.com/news/technology-32218381,,,,,
25,2015,Strike Week,1,"데이터탈취, 컴퓨터사기, 악성코드제작, DDoS공격, 피싱, 지적재산도용, 악성코드유포","National Crime Agency(NCA, 영국 국가범죄수사청), National Cyber Crime Unit(NCCU), 지역 조직범죄수사대, Metropolitan Police, West Midlands Police, FBI","영국, 미국(정보 지원 및 일부 수사 협력)","2015년 3월 영국 국가범죄수사청(NCA)을 중심으로 한 25개 작전이 전국적으로 펼쳐지며, 데이터 절도, 사기, 바이러스 제작, DDoS 공격 등 다양한 사이버 범죄 혐의로 56명의 해커가 체포되고, 주요 해킹 집단(Lizard Squad, D33Ds Company 등) 소속 인물도 포함되었으며, FBI 등 국제 파트너의 정보 지원도 이루어졌다",https://www.bbc.com/news/technology-31753934,,,,,
23,2015,(가칭)Operation Phishing Syndicate,1,"금융사기, 이메일계정해킹, 악성코드유포, 자금세탁","Europol, Eurojust, 이탈리아 경찰(Polizia di Stato), 스페인 국가경찰, 폴란드 경찰, 영국 법집행기관","이탈리아, 스페인, 폴란드, 영국, 벨기에, 조지아","2015년 6월 국제 공조 수사로 이탈리아, 스페인, 폴란드, 영국, 벨기에, 조지아 등에서 이메일 계정 침입을 통한 금융 사기 조직 49명을 체포하고, 58곳을 압수수색하여 현금, 신용카드, 위조문서 등 범죄 수익을 압수했다.",https://www.europol.europa.eu/media-press/newsroom/news/international-operation-dismantles-criminal-group-of-cyber-fraudsters,,,,,
